timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-04-21,65.5,70.74,64.84,69.0,69.0,23791556,0.0,1.0
2021-04-22,73.2,80.0,71.03,75.5,75.5,13263830,0.0,1.0
2021-04-23,76.58,77.4008,72.57,74.84,74.84,3099535,0.0,1.0
2021-04-26,76.15,82.44,75.7,80.81,80.81,3557344,0.0,1.0
2021-04-27,82.4,83.4,75.1,75.37,75.37,2721944,0.0,1.0
2021-04-28,76.58,77.89,75.41,75.41,75.41,811964,0.0,1.0
2021-04-29,76.37,76.98,70.11,75.29,75.29,1901542,0.0,1.0
2021-04-30,73.38,74.5,71.66,72.0,72.0,1230048,0.0,1.0
2021-05-03,72.33,73.0,67.75,70.93,70.93,2526201,0.0,1.0
2021-05-04,70.32,76.58,69.25,73.98,73.98,2600317,0.0,1.0
2021-05-05,74.44,75.43,70.12,70.87,70.87,818909,0.0,1.0
2021-05-06,70.07,70.485,65.56,69.29,69.29,2125286,0.0,1.0
2021-05-07,69.29,71.94,68.31,69.02,69.02,1797504,0.0,1.0
2021-05-10,68.6,68.9,62.01,65.4,65.4,3230956,0.0,1.0
2021-05-11,62.28,77.25,61.5,74.81,74.81,5735793,0.0,1.0
2021-05-12,71.61,74.56,70.25,71.76,71.76,3071109,0.0,1.0
2021-05-13,71.76,72.59,64.27,66.42,66.42,4605783,0.0,1.0
2021-05-14,68.51,71.23,67.4801,70.48,70.48,1543400,0.0,1.0
2021-05-17,67.99,70.77,65.2,68.0,68.0,1543689,0.0,1.0
2021-05-18,68.4,74.65,67.82,73.26,73.26,2029663,0.0,1.0
2021-05-19,71.0,75.06,70.99,72.46,72.46,1381165,0.0,1.0
2021-05-20,74.0,78.86,74.0,75.4,75.4,1282875,0.0,1.0
2021-05-21,77.07,83.99,76.84,78.75,78.75,2107257,0.0,1.0
2021-05-24,80.4,88.62,79.91,85.12,85.12,2852859,0.0,1.0
2021-05-25,85.5,87.8099,80.22,84.0,84.0,1790008,0.0,1.0
2021-05-26,84.19,86.0,82.67,85.0,85.0,1173809,0.0,1.0
