timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-09,182.0,195.5,163.8,189.51,189.51,25373661,0.0,1.0
2020-12-10,179.71,187.6951,172.6361,186.0,186.0,9307612,0.0,1.0
2020-12-11,176.52,182.0,168.25,175.0,175.0,4760590,0.0,1.0
2020-12-14,169.1,170.0,151.2,160.0,160.0,7859600,0.0,1.0
2020-12-15,157.1,161.42,153.76,158.89,158.89,5017013,0.0,1.0
2020-12-16,161.18,167.47,157.2,158.05,158.05,3061346,0.0,1.0
2020-12-17,159.1,161.66,149.95,154.21,154.21,6369766,0.0,1.0
2020-12-18,154.21,169.95,147.32,166.35,166.35,8157776,0.0,1.0
2020-12-21,169.07,173.46,155.0,160.23,160.23,3884152,0.0,1.0
2020-12-22,161.05,163.21,153.4215,156.79,156.79,2388552,0.0,1.0
2020-12-23,155.0,161.56,150.25,158.22,158.22,1760137,0.0,1.0
2020-12-24,157.38,158.6,153.07,158.46,158.46,672982,0.0,1.0
2020-12-28,158.25,158.45,141.505,147.89,147.89,3801596,0.0,1.0
2020-12-29,146.12,147.4,139.64,141.27,141.27,3849488,0.0,1.0
2020-12-30,144.4,147.98,139.8,140.2,140.2,3121114,0.0,1.0
2020-12-31,140.2,146.5,135.38,142.75,142.75,2637335,0.0,1.0
2021-01-04,142.5,143.62,137.17,139.19,139.19,2026410,0.0,1.0
2021-01-05,138.0,146.12,137.835,144.43,144.43,1031819,0.0,1.0
2021-01-06,141.27,142.0,138.21,140.01,140.01,1931379,0.0,1.0
2021-01-07,140.0,154.64,139.435,152.77,152.77,3215243,0.0,1.0
2021-01-08,152.0,158.31,147.3,156.09,156.09,2548681,0.0,1.0
2021-01-11,153.19,169.0,153.19,167.0,167.0,2541253,0.0,1.0
2021-01-12,165.5,201.93,162.615,191.99,191.99,7068629,0.0,1.0
2021-01-13,192.41,215.5,188.07,198.0,198.0,6058811,0.0,1.0
2021-01-14,196.62,221.4,195.33,207.24,207.24,4511980,0.0,1.0
2021-01-15,207.0,212.09,186.95,187.15,187.15,3351084,0.0,1.0
2021-01-19,191.19,202.3,185.5404,198.75,198.75,3486225,0.0,1.0
2021-01-20,200.0,203.82,189.04,189.46,189.46,2066421,0.0,1.0
2021-01-21,191.61,195.4738,183.1929,190.89,190.89,2339355,0.0,1.0
2021-01-22,190.2,197.07,187.11,192.0,192.0,1679782,0.0,1.0
2021-01-25,194.33,215.39,191.31,191.81,191.81,3430353,0.0,1.0
2021-01-26,198.0,204.38,196.41,198.22,198.22,2363021,0.0,1.0
2021-01-27,200.0,256.09,190.4,193.07,193.07,5918278,0.0,1.0
2021-01-28,198.99,201.5,183.48,183.8,183.8,1693044,0.0,1.0
2021-01-29,189.4,194.99,183.48,193.27,193.27,1851516,0.0,1.0
2021-02-01,194.59,203.67,187.5631,191.17,191.17,1170119,0.0,1.0
2021-02-02,191.95,197.6,181.63,182.53,182.53,1334026,0.0,1.0
2021-02-03,184.66,186.66,178.326,180.58,180.58,1326121,0.0,1.0
2021-02-04,181.38,191.8765,180.6501,189.33,189.33,1142759,0.0,1.0
2021-02-05,189.57,190.9163,180.2449,181.23,181.23,1521390,0.0,1.0
2021-02-08,183.45,185.49,174.21,177.43,177.43,2000409,0.0,1.0
2021-02-09,177.71,192.28,177.6,187.75,187.75,2090897,0.0,1.0
2021-02-10,190.66,215.68,190.0,215.16,215.16,3970706,0.0,1.0
2021-02-11,208.5,222.0,208.5,213.26,213.26,1948971,0.0,1.0
2021-02-12,213.03,213.54,202.51,202.97,202.97,1376267,0.0,1.0
2021-02-16,205.6,226.47,205.0,212.17,212.17,2663366,0.0,1.0
2021-02-17,213.82,213.82,194.09,197.87,197.87,2006699,0.0,1.0
2021-02-18,194.3,201.41,188.91,200.06,200.06,1728232,0.0,1.0
2021-02-19,200.07,209.16,199.23,205.97,205.97,1879205,0.0,1.0
2021-02-22,198.0,201.99,176.36,178.07,178.07,3132699,0.0,1.0
2021-02-23,175.96,185.46,165.55,173.5,173.5,3005365,0.0,1.0
2021-02-24,174.36,180.55,173.52,176.32,176.32,1984048,0.0,1.0
2021-02-25,174.41,182.555,163.73,166.87,166.87,3385239,0.0,1.0
2021-02-26,155.5,172.97,155.0201,169.49,169.49,7561419,0.0,1.0
2021-03-01,171.44,173.79,164.2,168.89,168.89,4146076,0.0,1.0
2021-03-02,168.0,170.8,155.22,160.59,160.59,5311725,0.0,1.0
2021-03-03,156.69,161.34,144.56,148.25,148.25,4070507,0.0,1.0
2021-03-04,147.32,152.47,138.82,150.0,150.0,4366772,0.0,1.0
2021-03-05,150.5,160.0,138.45,151.48,151.48,6175819,0.0,1.0
2021-03-08,146.41,150.4,130.03,133.41,133.41,6886050,0.0,1.0
2021-03-09,132.91,147.2129,130.0,141.48,141.48,20400022,0.0,1.0
2021-03-10,143.14,147.735,134.04,135.77,135.77,5398457,0.0,1.0
2021-03-11,140.0,147.73,139.56,144.97,144.97,3612433,0.0,1.0
2021-03-12,139.48,145.4599,136.55,142.03,142.03,3255198,0.0,1.0
2021-03-15,143.78,144.04,138.03,140.69,140.69,2110775,0.0,1.0
2021-03-16,140.79,141.99,133.09,133.66,133.66,2477473,0.0,1.0
2021-03-17,133.0,136.245,127.7,133.8,133.8,3286925,0.0,1.0
2021-03-18,131.456,134.67,129.3142,130.62,130.62,2985126,0.0,1.0
2021-03-19,132.08,136.62,127.13,135.03,135.03,2259385,0.0,1.0
2021-03-22,136.0,139.48,133.44,135.91,135.91,1957871,0.0,1.0
2021-03-23,136.2,139.9,131.35,131.76,131.76,1886619,0.0,1.0
2021-03-24,131.77,132.54,124.9,125.53,125.53,2164623,0.0,1.0
2021-03-25,124.88,132.77,121.0,131.75,131.75,3016582,0.0,1.0
2021-03-26,131.63,136.99,129.57,134.01,134.01,2038364,0.0,1.0
2021-03-29,133.53,138.52,129.66,129.98,129.98,2302636,0.0,1.0
2021-03-30,128.21,132.0,126.16,130.6,130.6,1447133,0.0,1.0
2021-03-31,130.96,132.83,127.64,131.13,131.13,2939249,0.0,1.0
2021-04-01,136.88,140.9,130.94,133.14,133.14,2190988,0.0,1.0
2021-04-05,133.89,134.73,130.54,133.55,133.55,1459501,0.0,1.0
2021-04-06,131.75,135.5,130.51,131.09,131.09,1755185,0.0,1.0
2021-04-07,131.19,134.71,127.25,127.5,127.5,1866728,0.0,1.0
2021-04-08,129.02,130.45,126.14,128.14,128.14,1879766,0.0,1.0
2021-04-09,126.3,141.0,122.06,140.5,140.5,6671838,0.0,1.0
2021-04-12,138.0,149.01,136.28,147.83,147.83,5730119,0.0,1.0
2021-04-13,146.84,150.36,143.5501,149.46,149.46,2823477,0.0,1.0
2021-04-14,150.01,153.275,143.11,143.65,143.65,2235075,0.0,1.0
2021-04-15,145.0,154.88,144.87,151.5,151.5,3338725,0.0,1.0
2021-04-16,151.29,151.29,148.25,149.49,149.49,921278,0.0,1.0
2021-04-19,142.46,150.34,142.31,146.67,146.67,2246065,0.0,1.0
2021-04-20,146.72,148.81,142.25,144.35,144.35,1647738,0.0,1.0
2021-04-21,143.74,143.74,139.06,143.32,143.32,1169047,0.0,1.0
2021-04-22,144.9,149.4999,142.21,143.96,143.96,991427,0.0,1.0
2021-04-23,145.06,153.17,144.01,152.75,152.75,2088693,0.0,1.0
2021-04-26,153.2,157.34,150.44,153.8,153.8,1563945,0.0,1.0
2021-04-27,156.55,164.665,154.9,162.13,162.13,3095819,0.0,1.0
2021-04-28,160.01,167.23,158.3967,162.45,162.45,1621907,0.0,1.0
2021-04-29,164.04,164.04,144.1301,150.11,150.11,4109858,0.0,1.0
2021-04-30,148.31,150.63,142.13,143.17,143.17,1806769,0.0,1.0
2021-05-03,142.85,146.43,139.5301,140.47,140.47,1412631,0.0,1.0
2021-05-04,137.31,138.03,129.59,135.22,135.22,2092434,0.0,1.0
2021-05-05,134.0,134.625,124.93,128.39,128.39,2786400,0.0,1.0
2021-05-06,127.88,131.11,120.05,122.77,122.77,3114933,0.0,1.0
2021-05-07,126.49,129.49,122.55,124.89,124.89,1887545,0.0,1.0
2021-05-10,124.9,125.09,118.56,120.45,120.45,2277694,0.0,1.0
2021-05-11,115.46,125.5,114.69,124.54,124.54,2724223,0.0,1.0
2021-05-12,119.52,120.1703,112.0501,112.99,112.99,4433729,0.0,1.0
2021-05-13,114.05,118.72,110.13,115.49,115.49,6869498,0.0,1.0
2021-05-14,125.0,146.63,123.57,141.07,141.07,15264687,0.0,1.0
2021-05-17,138.91,140.69,130.71,133.79,133.79,5197222,0.0,1.0
2021-05-18,135.5,143.85,133.09,138.56,138.56,10724425,0.0,1.0
2021-05-19,130.36,140.73,130.01,140.2,140.2,5588707,0.0,1.0
2021-05-20,134.81,138.02,133.35,137.0,137.0,6765972,0.0,1.0
2021-05-21,136.77,138.85,135.44,137.57,137.57,3250174,0.0,1.0
2021-05-24,139.0,143.42,137.36,140.46,140.46,3975660,0.0,1.0
2021-05-25,140.11,141.48,135.68,136.27,136.27,2812628,0.0,1.0
2021-05-26,138.73,145.23,136.38,141.86,141.86,3151361,0.0,1.0
