timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-25,18.7,25.0,18.5,25.0,25.0,13709519,0.0,1.0
2018-07-26,24.745,24.85,20.3,21.01,21.01,3628317,0.0,1.0
2018-07-27,21.2,23.0,21.2,22.6,22.6,1321229,0.0,1.0
2018-07-30,22.75,24.0,22.65,23.85,23.85,1236290,0.0,1.0
2018-07-31,24.03,26.43,22.75,23.05,23.05,2603376,0.0,1.0
2018-08-01,23.67,24.8,22.6,23.5,23.5,952868,0.0,1.0
2018-08-02,23.5,25.12,23.5,24.5,24.5,683600,0.0,1.0
2018-08-03,24.63,27.1,24.5,26.8,26.8,904200,0.0,1.0
2018-08-06,27.07,29.875,26.9,27.94,27.94,1523378,0.0,1.0
2018-08-07,28.66,28.749,27.13,27.45,27.45,907291,0.0,1.0
2018-08-08,27.89,28.25,26.5,28.15,28.15,1160509,0.0,1.0
2018-08-09,28.0,28.03,26.6,26.72,26.72,403144,0.0,1.0
2018-08-10,26.84,28.0,26.3,27.65,27.65,431516,0.0,1.0
2018-08-13,27.65,27.65,24.71,24.76,24.76,711408,0.0,1.0
2018-08-14,25.1,25.8632,25.0,25.51,25.51,300814,0.0,1.0
2018-08-15,25.8,25.8,22.78,22.91,22.91,822385,0.0,1.0
2018-08-16,23.5,23.92,22.9001,23.13,23.13,567353,0.0,1.0
2018-08-17,23.63,23.63,22.19,22.2,22.2,602046,0.0,1.0
2018-08-20,22.0,23.1059,21.75,22.42,22.42,1187727,0.0,1.0
2018-08-21,22.85,25.8,22.61,25.27,25.27,1267442,0.0,1.0
2018-08-22,25.02,27.5,24.8,27.0,27.0,883967,0.0,1.0
2018-08-23,27.21,29.5,27.1921,29.28,29.28,1313349,0.0,1.0
2018-08-24,29.25,33.25,29.2412,30.91,30.91,1597636,0.0,1.0
2018-08-27,29.0,30.44,28.1601,28.69,28.69,1370178,0.0,1.0
2018-08-28,28.62,30.59,28.5,29.55,29.55,668756,0.0,1.0
2018-08-29,29.69,29.75,28.61,29.15,29.15,520445,0.0,1.0
2018-08-30,28.87,29.02,28.11,28.75,28.75,527497,0.0,1.0
2018-08-31,28.4,30.18,28.07,29.95,29.95,494786,0.0,1.0
2018-09-04,30.0,30.05,28.1325,28.5,28.5,652074,0.0,1.0
2018-09-05,28.19,28.63,26.355,28.21,28.21,543044,0.0,1.0
2018-09-06,28.0,28.84,28.0,28.7,28.7,241468,0.0,1.0
2018-09-07,28.64,31.13,28.085,30.58,30.58,646464,0.0,1.0
2018-09-10,31.33,31.4499,27.36,29.05,29.05,1018945,0.0,1.0
2018-09-11,29.0,29.54,27.86,29.26,29.26,362448,0.0,1.0
2018-09-12,29.41,32.0899,29.1401,31.91,31.91,503589,0.0,1.0
2018-09-13,31.91,33.89,30.55,31.68,31.68,929559,0.0,1.0
2018-09-14,31.22,31.3,28.9,29.58,29.58,641291,0.0,1.0
2018-09-17,29.45,30.371,28.72,29.0,29.0,290173,0.0,1.0
2018-09-18,28.94,29.92,28.9,29.92,29.92,295180,0.0,1.0
2018-09-19,30.03,31.06,28.97,29.25,29.25,458835,0.0,1.0
2018-09-20,29.55,30.5487,29.3973,30.01,30.01,223991,0.0,1.0
2018-09-21,30.05,33.05,29.9398,30.95,30.95,1701158,0.0,1.0
2018-09-24,31.0,32.75,30.66,32.25,32.25,399356,0.0,1.0
2018-09-25,32.55,34.88,32.5102,34.08,34.08,535860,0.0,1.0
2018-09-26,34.6,36.59,34.25,35.8,35.8,584622,0.0,1.0
2018-09-27,36.0,38.0,33.23,33.6,33.6,870127,0.0,1.0
2018-09-28,33.72,35.52,33.01,34.08,34.08,431695,0.0,1.0
2018-10-01,34.18,34.4812,32.0,32.27,32.27,318210,0.0,1.0
2018-10-02,32.3,32.91,30.17,30.22,30.22,379939,0.0,1.0
2018-10-03,30.38,30.92,29.1,30.25,30.25,527259,0.0,1.0
2018-10-04,30.24,30.45,28.24,28.34,28.34,554279,0.0,1.0
2018-10-05,28.34,29.369,26.11,27.37,27.37,725057,0.0,1.0
2018-10-08,27.37,27.37,25.2,27.07,27.07,680179,0.0,1.0
2018-10-09,26.87,27.6509,26.01,26.1,26.1,381567,0.0,1.0
2018-10-10,25.94,28.5,25.25,27.54,27.54,819371,0.0,1.0
2018-10-11,27.21,28.01,25.61,27.38,27.38,506071,0.0,1.0
2018-10-12,27.5,28.34,26.271,26.68,26.68,270498,0.0,1.0
