timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-05-02,46.0,72.95,45.0,65.75,65.75,23118966,0.0,1.0
2019-05-03,72.0,74.0,65.66,66.79,66.79,13139367,0.0,1.0
2019-05-06,62.73,74.84,62.5,74.79,74.79,8746178,0.0,1.0
2019-05-07,77.14,85.45,75.0,79.17,79.17,16532102,0.0,1.0
2019-05-08,83.61,85.38,70.785,72.25,72.25,14711809,0.0,1.0
2019-05-09,70.5,73.2,67.1,68.27,68.27,6284516,0.0,1.0
2019-05-10,69.09,69.332,61.6,66.22,66.22,4888033,0.0,1.0
2019-05-13,65.46,71.96,63.36,69.5,69.5,4784517,0.0,1.0
2019-05-14,72.48,80.75,71.12,79.68,79.68,7079600,0.0,1.0
2019-05-15,79.0,93.0,74.55,86.92,86.92,18356209,0.0,1.0
2019-05-16,90.1,96.785,89.51,92.92,92.92,13900335,0.0,1.0
2019-05-17,92.46,96.68,85.71,89.35,89.35,10724060,0.0,1.0
2019-05-20,88.9,90.96,83.13,86.09,86.09,5189713,0.0,1.0
2019-05-21,88.03,88.75,76.76,77.5,77.5,9065090,0.0,1.0
2019-05-22,77.38,81.74,77.0,77.63,77.63,3898382,0.0,1.0
2019-05-23,79.4,83.8,78.123,82.1,82.1,4331336,0.0,1.0
2019-05-24,83.92,85.5,79.51,79.67,79.67,2909494,0.0,1.0
2019-05-28,83.98,88.83,83.7,86.0,86.0,6604012,0.0,1.0
2019-05-29,90.05,97.65,87.32,97.5,97.5,8371994,0.0,1.0
2019-05-30,101.897,105.25,94.03,98.59,98.59,12359807,0.0,1.0
2019-05-31,100.0,104.55,97.26,104.12,104.12,7733863,0.0,1.0
2019-06-03,104.14,108.67,95.662,96.16,96.16,8027710,0.0,1.0
2019-06-04,101.25,103.5,97.82,103.41,103.41,5484873,0.0,1.0
2019-06-05,105.5,105.5,99.64,102.6,102.6,4283474,0.0,1.0
2019-06-06,102.0,102.25,98.85,99.5,99.5,6483991,0.0,1.0
2019-06-07,130.0,149.46,120.76,138.65,138.65,23916747,0.0,1.0
2019-06-10,155.7,186.43,147.0,168.1,168.1,24986035,0.0,1.0
2019-06-11,145.25,150.0,125.23,126.04,126.04,15515979,0.0,1.0
2019-06-12,133.99,150.45,131.563,141.97,141.97,16918631,0.0,1.0
2019-06-13,141.52,146.45,134.25,141.39,141.39,9474562,0.0,1.0
2019-06-14,142.01,157.9,141.8,151.48,151.48,14964553,0.0,1.0
2019-06-17,163.18,171.19,160.611,169.96,169.96,14626683,0.0,1.0
2019-06-18,200.0,201.88,160.7,169.89,169.89,23966910,0.0,1.0
2019-06-19,171.37,174.45,162.25,169.28,169.28,9451961,0.0,1.0
2019-06-20,173.0,174.0,163.3,165.17,165.17,6660492,0.0,1.0
2019-06-21,153.54,161.79,150.0,154.13,154.13,7474586,0.0,1.0
2019-06-24,151.88,152.7,138.0,140.99,140.99,6538497,0.0,1.0
2019-06-25,138.5,150.69,138.343,150.6,150.6,6682929,0.0,1.0
2019-06-26,160.1,162.25,153.02,160.48,160.48,6378629,0.0,1.0
2019-06-27,157.31,164.79,155.45,162.91,162.91,5731421,0.0,1.0
2019-06-28,165.3,168.8,159.55,160.68,160.68,7315297,0.0,1.0
2019-07-01,161.49,162.45,152.0,152.58,152.58,4449296,0.0,1.0
2019-07-02,153.0,153.7,147.02,149.71,149.71,3274872,0.0,1.0
2019-07-03,151.0,154.0,148.7,151.5,151.5,2261049,0.0,1.0
2019-07-05,150.0,153.79,148.056,152.63,152.63,2040339,0.0,1.0
2019-07-08,152.49,158.93,152.0,156.67,156.67,3615535,0.0,1.0
2019-07-09,158.73,159.59,154.51,157.82,157.82,2607748,0.0,1.0
2019-07-10,159.48,163.88,158.0,163.51,163.51,3982862,0.0,1.0
2019-07-11,165.0,174.24,163.55,174.2,174.2,5469460,0.0,1.0
2019-07-12,172.37,172.4,164.75,166.81,166.81,4659902,0.0,1.0
2019-07-15,168.16,170.7,166.0,166.53,166.53,2652904,0.0,1.0
2019-07-16,168.45,174.673,167.01,172.59,172.59,3969125,0.0,1.0
2019-07-17,173.08,173.43,168.106,169.64,169.64,2437299,0.0,1.0
2019-07-18,169.4,172.45,167.81,170.34,170.34,1697334,0.0,1.0
2019-07-19,172.0,178.55,170.77,176.79,176.79,4256226,0.0,1.0
2019-07-22,178.5,200.8,177.76,194.2,194.2,11395384,0.0,1.0
2019-07-23,199.6,208.48,191.78,195.48,195.48,10669204,0.0,1.0
2019-07-24,201.0,205.5,197.21,202.92,202.92,7168721,0.0,1.0
2019-07-25,207.0,222.89,205.45,222.86,222.86,10015777,0.0,1.0
2019-07-26,235.56,239.71,215.5,234.9,234.9,16531267,0.0,1.0
2019-07-29,228.9,233.87,201.0,222.13,222.13,16046964,0.0,1.0
2019-07-30,186.34,216.9,183.5,194.76,194.76,19060399,0.0,1.0
2019-07-31,195.76,207.0,193.5,196.51,196.51,11930614,0.0,1.0
2019-08-01,175.14,183.99,172.0,176.04,176.04,15083506,0.0,1.0
2019-08-02,177.6,181.91,175.05,177.11,177.11,5806924,0.0,1.0
2019-08-05,173.1,178.23,170.99,175.94,175.94,5665541,0.0,1.0
2019-08-06,180.1,181.75,160.62,161.24,161.24,8407653,0.0,1.0
2019-08-07,164.0,167.445,160.55,167.0,167.0,5857961,0.0,1.0
2019-08-08,168.57,168.68,158.0,162.7,162.7,5106005,0.0,1.0
2019-08-09,162.54,166.3,162.05,164.37,164.37,2756441,0.0,1.0
2019-08-12,164.53,172.175,162.5,169.11,169.11,3973805,0.0,1.0
2019-08-13,169.0,171.98,165.58,167.29,167.29,3053719,0.0,1.0
2019-08-14,165.75,166.745,161.06,162.9,162.9,2246577,0.0,1.0
2019-08-15,163.0,164.14,137.11,144.2,144.2,9638551,0.0,1.0
2019-08-16,144.21,148.54,136.27,144.77,144.77,5920368,0.0,1.0
2019-08-19,147.39,148.5,140.77,144.51,144.51,3855497,0.0,1.0
2019-08-20,155.0,158.2,151.53,153.97,153.97,7059305,0.0,1.0
2019-08-21,155.75,155.75,149.134,151.95,151.95,3665421,0.0,1.0
2019-08-22,151.04,152.21,146.1,150.99,150.99,2930745,0.0,1.0
2019-08-23,150.0,151.64,146.26,146.85,146.85,2224600,0.0,1.0
2019-08-26,153.8,155.4,150.3,155.13,155.13,3661081,0.0,1.0
2019-08-27,159.28,161.425,155.3,157.02,157.02,4435781,0.0,1.0
2019-08-28,158.28,162.5,155.4,160.31,160.31,3704653,0.0,1.0
2019-08-29,161.75,166.72,159.0,165.48,165.48,3771089,0.0,1.0
2019-08-30,168.67,172.29,166.7,167.63,167.63,4151727,0.0,1.0
2019-09-03,167.63,169.31,162.21,163.15,163.15,2435860,0.0,1.0
2019-09-04,165.36,165.5,161.644,163.68,163.68,2148407,0.0,1.0
2019-09-05,162.05,167.15,160.52,160.97,160.97,2300264,0.0,1.0
2019-09-06,155.84,157.625,151.68,154.99,154.99,3560562,0.0,1.0
2019-09-09,153.14,153.926,147.254,149.53,149.53,3097896,0.0,1.0
2019-09-10,147.0,147.5,142.98,146.9,146.9,1885606,0.0,1.0
2019-09-11,147.23,152.8,147.01,151.81,151.81,1869493,0.0,1.0
2019-09-12,151.6,154.41,149.14,152.96,152.96,1520062,0.0,1.0
2019-09-13,155.29,156.93,153.577,155.98,155.98,1810284,0.0,1.0
2019-09-16,155.84,159.85,154.55,158.97,158.97,1766779,0.0,1.0
2019-09-17,160.0,161.49,158.9,160.31,160.31,1576523,0.0,1.0
2019-09-18,160.01,160.49,149.0,153.99,153.99,3041950,0.0,1.0
2019-09-19,156.84,157.1,152.5,154.92,154.92,1579781,0.0,1.0
2019-09-20,154.97,156.56,153.44,155.26,155.26,1300897,0.0,1.0
2019-09-23,152.66,154.27,146.29,148.22,148.22,2400202,0.0,1.0
2019-09-24,146.74,147.0,139.07,142.99,142.99,2329882,0.0,1.0
2019-09-25,139.3,142.9,133.08,138.32,138.32,2534585,0.0,1.0
2019-09-26,160.51,160.6,148.6,154.34,154.34,8096727,0.0,1.0
2019-09-27,151.0,153.81,148.9,151.66,151.66,1994438,0.0,1.0
2019-09-30,150.69,151.0,145.68,148.62,148.62,1674602,0.0,1.0
2019-10-01,148.65,149.4,143.7,146.42,146.42,1493329,0.0,1.0
2019-10-02,144.96,145.25,141.1,143.3,143.3,1545244,0.0,1.0
2019-10-03,142.06,146.925,141.32,145.44,145.44,1161546,0.0,1.0
2019-10-04,146.06,147.17,144.27,145.72,145.72,1378473,0.0,1.0
2019-10-07,144.5,145.17,142.03,145.06,145.06,1330685,0.0,1.0
2019-10-08,143.0,143.94,140.18,142.73,142.73,1124273,0.0,1.0
2019-10-09,143.26,143.702,137.56,139.35,139.35,1492455,0.0,1.0
2019-10-10,138.5,138.95,134.91,136.0,136.0,1741585,0.0,1.0
2019-10-11,136.01,136.85,130.64,131.39,131.39,2451023,0.0,1.0
2019-10-14,128.45,128.46,124.63,126.31,126.31,2130908,0.0,1.0
2019-10-15,124.27,125.4,120.53,122.05,122.05,2639299,0.0,1.0
2019-10-16,122.0,126.49,121.777,123.92,123.92,1971860,0.0,1.0
2019-10-17,123.99,124.58,116.86,117.35,117.35,2856541,0.0,1.0
2019-10-18,115.0,115.39,107.91,109.99,109.99,3818792,0.0,1.0
2019-10-21,113.6,113.609,106.01,110.13,110.13,3585711,0.0,1.0
2019-10-22,110.0,112.88,105.55,106.4,106.4,2337819,0.0,1.0
2019-10-23,102.7,105.67,97.25,97.9,97.9,4764828,0.0,1.0
2019-10-24,96.5,103.77,96.15,101.7,101.7,4707811,0.0,1.0
2019-10-25,101.77,102.0,97.739,100.81,100.81,3312802,0.0,1.0
2019-10-28,101.0,108.17,97.85,105.41,105.41,8345029,0.0,1.0
2019-10-29,82.96,88.88,80.1,81.99,81.99,32852428,0.0,1.0
2019-10-30,84.35,90.0,83.0,88.89,88.89,14633109,0.0,1.0
2019-10-31,90.44,90.44,83.63,84.45,84.45,7049880,0.0,1.0
2019-11-01,84.37,85.29,81.83,82.0,82.0,5220503,0.0,1.0
2019-11-04,83.4,83.44,79.63,79.79,79.79,4758308,0.0,1.0
2019-11-05,83.25,84.97,81.39,81.45,81.45,8346245,0.0,1.0
2019-11-06,82.04,83.51,80.5,80.73,80.73,3672013,0.0,1.0
2019-11-07,81.1,81.19,77.22,78.99,78.99,6171218,0.0,1.0
2019-11-08,79.25,80.79,78.67,79.95,79.95,2846936,0.0,1.0
2019-11-11,79.88,79.965,75.647,76.79,76.79,5034836,0.0,1.0
