fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-26,1.98,1.94,0.04,2.0619
2022-06-30,2022-07-27,1.97,1.94,0.03,1.5464
2022-03-31,2022-04-27,2.11,2,0.11,5.5
2021-12-31,2022-02-09,1.66,1.64,0.02,1.2195
2021-09-30,2021-10-27,1.6,1.56,0.04,2.5641
2021-06-30,2021-07-28,1.64,1.61,0.03,1.8634
2021-03-31,2021-04-28,1.79,1.75,0.04,2.2857
2020-12-31,2021-02-10,1.39,1.37,0.02,1.4599
2020-09-30,2020-10-28,1.38,1.41,-0.03,-2.1277
2020-06-30,2020-07-29,1.63,1.62,0.01,0.6173
2020-03-31,2020-04-29,2.33,2.23,0.1,4.4843
2019-12-31,2020-02-12,1.52,1.54,-0.02,-1.2987
2019-09-30,2019-10-30,1.9,1.76,0.14,7.9545
2019-06-30,2019-07-31,1.76,1.77,-0.01,-0.565
2019-03-31,2019-05-01,1.62,1.6,0.02,1.25
2018-12-31,2019-02-14,1.77,1.72,0.05,2.907
2018-09-30,2018-10-25,1.45,1.43,0.02,1.3986
2018-06-30,2018-07-26,1.74,1.72,0.02,1.1628
2018-03-31,2018-04-26,1.86,1.83,0.03,1.6393
2017-12-31,2018-02-01,1.12,1.09,0.03,2.7523
2017-09-30,2017-10-26,1.19,1.16,0.03,2.5862
2017-06-30,2017-08-01,1.23,1.21,0.02,1.6529
2017-03-31,2017-04-27,1.22,1.2,0.02,1.6667
2016-12-31,2017-02-02,1.14,1.11,0.03,2.7027
2016-09-30,2016-10-27,1.05,1.04,0.01,0.9615
2016-06-30,2016-07-28,1.14,1.11,0.03,2.7027
2016-03-31,2016-04-28,1.2,1.15,0.05,4.3478
2015-12-31,2016-02-05,0.92,0.9,0.02,2.2222
2015-09-30,2015-10-29,1.02,0.99,0.03,3.0303
2015-06-30,2015-07-30,0.95,0.92,0.03,3.2609
2015-03-31,2015-04-30,0.98,0.95,0.03,3.1579
2014-12-31,2015-02-05,0.95,0.93,0.02,2.1505
2014-09-30,2014-10-30,0.84,0.83,0.01,1.2048
2014-06-30,2014-07-31,0.77,0.79,-0.02,-2.5316
2014-03-31,2014-05-01,0.83,0.83,0,0
2013-12-31,2014-02-04,0.64,0.68,-0.04,-5.8824
2013-09-30,2013-11-04,0.75,0.73,0.02,2.7397
2013-06-30,2013-08-01,0.93,0.89,0.04,4.4944
2013-03-31,2013-05-02,0.73,0.73,0,0
2012-12-31,2013-02-05,0.63,0.63,0,0
2012-09-30,2012-10-25,0.7,0.69,0.01,1.4493
2012-06-30,2012-07-26,0.89,0.82,0.07,8.5366
2012-03-31,2012-04-26,0.8,0.8,0,0
2011-12-31,2012-02-02,0.71,0.73,-0.02,-2.7397
2011-09-30,2011-11-01,0.95,0.94,0.01,1.0638
2011-06-30,2011-07-28,0.88,0.83,0.05,6.0241
2011-03-31,2011-04-28,0.87,0.84,0.03,3.5714
2010-12-31,2011-02-03,0.75,0.76,-0.01,-1.3158
2010-09-30,2010-10-28,0.73,0.73,0,0
2010-06-30,2010-07-29,0.89,0.88,0.01,1.1364
2010-03-31,2010-04-29,0.72,0.72,0,0
2009-12-31,2010-02-04,0.67,0.69,-0.02,-2.8986
2009-09-30,2009-10-29,0.67,0.66,0.01,1.5152
2009-06-30,2009-07-23,0.67,0.65,0.02,3.0769
2009-03-31,2009-04-23,0.64,0.64,0,0
2008-12-31,2009-02-03,0.72,0.69,0.03,4.3478
2008-09-30,2008-10-29,0.83,0.8,0.03,3.75
2008-06-30,2008-07-22,0.79,0.77,0.02,2.5974
2008-03-31,2008-04-22,0.93,0.96,-0.03,-3.125
2007-12-31,2008-02-05,0.75,0.72,0.03,4.1667
2007-09-30,2007-10-24,0.86,0.82,0.04,4.878
2007-06-30,2007-07-24,0.74,0.73,0.01,1.3699
2007-03-31,2007-04-24,0.74,0.72,0.02,2.7778
2006-12-31,2007-01-30,0.58,0.6,-0.02,-3.3333
2006-09-30,2006-10-24,0.59,0.57,0.02,3.5088
2006-06-30,2006-07-25,0.62,0.62,0,0
2006-03-31,2006-04-25,0.52,0.53,-0.01,-1.8868
2005-12-31,2006-01-31,0.44,0.42,0.02,4.7619
2005-09-30,2005-10-25,0.44,0.44,0,0
2005-06-30,2005-07-26,0.47,0.48,-0.01,-2.0833
2005-03-31,2005-04-26,0.41,0.39,0.02,5.1282
2004-12-31,2005-02-01,0.33,0.34,-0.01,-2.9412
2004-09-30,2004-10-26,0.34,0.33,0.01,3.0303
2004-06-30,2004-07-22,0.33,0.33,0,0
2004-03-31,2004-04-27,0.27,0.24,0.03,12.5
2003-12-31,2004-02-03,0.17,0.18,-0.01,-5.5556
2003-09-30,2003-10-22,0.19,0.18,0.01,5.5556
2003-06-30,2003-07-22,0.21,0.19,0.02,10.5263
2003-03-31,2003-04-22,0.15,0.13,0.02,15.3846
2002-12-31,2003-01-30,0.18,0.18,0,0
