fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-10-31,2022-12-19,0.7,0.69,0.01,1.4493
2022-07-31,2022-08-29,0.6,0.66,-0.06,-9.0909
2022-04-30,2022-05-23,0.62,0.61,0.01,1.6393
2022-01-31,2022-02-23,0.63,0.6,0.03,5
2021-10-31,2021-12-15,0.62,0.59,0.03,5.0847
2021-07-31,2021-08-24,0.56,0.55,0.01,1.8182
2021-04-30,2021-05-25,0.51,0.48,0.03,6.25
2021-01-31,2021-02-23,0.51,0.48,0.03,6.25
2020-10-31,2020-12-21,0.45,0.41,0.04,9.7561
2020-07-31,2020-08-25,0.4,0.32,0.08,25
2020-04-30,2020-05-26,0.55,0.42,0.13,30.9524
2020-01-31,2020-02-25,0.89,0.77,0.12,15.5844
2019-10-31,2019-12-16,0.62,0.58,0.04,6.8966
2019-07-31,2019-08-27,0.59,0.54,0.05,9.2593
2019-04-30,2019-05-28,0.6,0.49,0.11,22.449
2019-01-31,2019-02-26,0.58,0.47,0.11,23.4043
2018-10-31,2018-12-17,0.49,0.48,0.01,2.0833
2018-07-31,2018-08-27,0.49,0.45,0.04,8.8889
2018-04-30,2018-05-29,0.44,0.42,0.02,4.7619
2018-01-31,2018-02-27,0.48,0.32,0.16,50
2017-10-31,2017-12-18,0.4,0.37,0.03,8.1081
2017-07-31,2017-08-23,0.34,0.34,0,0
2017-04-30,2017-05-23,0.34,0.32,0.02,6.25
2017-01-31,2017-02-28,0.3,0.28,0.02,7.1429
2016-10-31,2016-12-13,0.33,0.32,0.01,3.125
2016-07-31,2016-08-24,0.32,0.3,0.02,6.6667
2016-04-30,2016-05-25,0.37,0.36,0.01,2.7778
2016-01-31,2016-02-25,0.31,0.31,0,0
2015-10-31,2015-12-15,0.45,0.43,0.02,4.6512
2015-07-31,2015-08-25,0.41,0.42,-0.01,-2.381
2015-04-30,2015-05-19,0.39,0.37,0.02,5.4054
2015-01-31,2015-02-24,0.41,0.45,-0.04,-8.8889
2014-10-31,2014-12-16,0.48,0.46,0.02,4.3478
2014-07-31,2014-08-26,0.49,0.44,0.05,11.3636
2014-04-30,2014-05-20,0.22,0.21,0.01,4.7619
2014-01-31,2014-02-25,0.19,0.18,0.01,5.5556
2013-10-31,2013-12-17,0.23,0.21,0.02,9.5238
2013-07-31,2013-08-27,0.22,0.19,0.03,15.7895
2013-04-30,2013-05-22,0.18,0.17,0.01,5.8824
2013-01-31,2013-02-20,0.15,0.16,-0.01,-6.25
2012-10-31,2012-12-18,0.18,0.18,0,0
2012-07-31,2012-08-22,0.18,0.17,0.01,5.8824
2012-04-30,2012-05-22,0.15,0.15,0,0
2012-01-31,2012-02-22,0.15,0.14,0.01,7.1429
2011-10-31,2011-12-15,0.14,0.14,0,0
2011-07-31,2011-08-24,0.16,0.13,0.03,23.0769
2011-04-30,2011-05-24,0.13,0.12,0.01,8.3333
2011-01-31,2011-02-22,0.13,0.11,0.02,18.1818
2010-10-31,2010-12-15,0.12,0.1,0.02,20
2010-07-31,2010-08-25,0.12,0.1,0.02,20
2010-04-30,2010-05-25,0.1,0.09,0.01,11.1111
2010-01-31,2010-02-24,0.09,0.08,0.01,12.5
2009-10-31,2009-12-17,0.09,0.09,0,0
2009-07-31,2009-08-26,0.09,0.09,0,0
2009-04-30,2009-05-27,0.08,0.09,-0.01,-11.1111
2009-01-31,2009-02-24,0.09,0.09,0,0
2008-10-31,2008-12-17,0.1,0.1,0,0
2008-07-31,2008-08-27,0.1,0.1,0,0
2008-04-30,2008-05-29,0.09,0.09,0,0
2008-01-31,2008-02-28,0.08,0.08,0,0
2007-10-31,2007-12-19,0.08,0.08,0,0
2007-07-31,2007-08-29,0.08,0.08,0,0
2007-04-30,2007-05-30,0.07,0.07,0,0
2007-01-31,2007-02-28,0.06,0.07,-0.01,-14.2857
2006-10-31,2006-12-20,0.07,0.06,0.01,16.6667
2006-07-31,2006-08-30,0.07,0.06,0.01,16.6667
2006-04-30,2006-06-01,0.06,0.05,0.01,20
2006-01-31,2006-03-01,0.05,0.05,0,0
2005-10-31,2005-12-21,0.05,0.05,0,0
2005-07-31,2005-08-29,0.05,0.05,0,0
2005-04-30,2005-05-31,0.05,0.04,0.01,25
2005-01-31,2005-02-24,0.04,0.04,0,0
2004-10-31,2004-12-15,0.04,0.04,0,0
2004-07-31,2004-08-25,0.04,0.04,0,0
2004-04-30,2004-05-24,0.03,0.03,0,0
2004-01-31,2004-02-24,0.03,0.03,0,0
2003-10-31,2003-12-15,0.03,0.03,0,0
2003-07-31,2003-08-27,0.03,0.03,0,0
2003-04-30,2003-05-29,0.02,0.03,-0.01,-33.3333
2003-01-31,2003-02-27,0.02,0.03,-0.01,-33.3333
2002-10-31,2002-12-18,0.03,0.03,0,0
2002-07-31,2002-08-29,0.02,0.03,-0.01,-33.3333
2002-04-30,2002-05-28,0.03,0.03,0,0
2002-01-31,2002-02-25,0.02,0.02,0,0
2001-10-31,2001-12-21,0.03,0.04,-0.01,-25
2001-07-31,2001-08-28,0.03,0.04,-0.01,-25
2001-04-30,2001-05-29,0.05,0.04,0.01,25
2001-01-31,2001-02-27,0.03,0.04,-0.01,-25
2000-10-31,2000-12-14,0.04,0.04,0,0
2000-07-31,2000-08-31,0.04,0.04,0,0
2000-04-30,2000-05-25,0.04,0.04,0,0
2000-01-31,2000-02-24,0.03,0.03,0,0
1999-10-31,1999-12-21,0.04,0.04,0,0
1999-07-31,1999-08-26,0.04,0.04,0,0
1999-04-30,1999-05-27,0.04,0.04,0,0
1999-01-31,1999-03-01,0.04,0.03,0.01,33.3333
1998-10-31,1998-12-17,0.03,0.03,0,0
1998-07-31,1998-08-26,0.03,0.03,0,0
1998-04-30,1998-05-26,0.03,0.02,0.01,50
1998-01-31,1998-03-02,0.02,0.02,0,0
1997-10-31,1997-12-18,0.03,0.02,0.01,50
1997-07-31,1997-08-25,0.02,0.02,0,0
1997-04-30,1997-05-22,0.02,0.02,0,0
1997-01-31,1997-02-26,0.02,0.01,0.01,100
1996-10-31,1997-01-08,0.02,0.02,0,0
