fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-04,0.07,0.42,-0.35,-83.3333
2022-06-30,2022-08-05,0.13,0.29,-0.16,-55.1724
2022-03-31,2022-05-06,0.16,0.22,-0.06,-27.2727
2021-12-31,2022-02-22,0.31,0.28,0.03,10.7143
2021-09-30,2021-11-05,0.23,0.15,0.08,53.3333
2021-06-30,2021-08-06,0.32,0.08,0.24,300
2021-03-31,2021-05-07,0.07,0.05,0.02,40
2020-12-31,2021-02-26,-0.82,0.26,-1.08,-415.3846
2020-09-30,2020-10-21,-1.22,0.27,-1.49,-551.8519
2020-06-30,2020-09-25,-0.21,-0.08,-0.13,-162.5
2020-03-31,2020-03-31,-1.22,0.27,-1.49,-551.8519
2019-12-31,2019-12-31,-0.21,-0.08,-0.13,-162.5
2019-09-30,2019-10-31,-5.29,0.36,-5.65,-1569.4444
2019-06-30,2019-08-01,-3.96,0.52,-4.48,-861.5385
2019-03-31,2019-05-02,-0.42,0.52,-0.94,-180.7692
2018-12-31,2019-02-21,0.36,0.61,-0.25,-40.9836
2018-09-30,2018-11-01,0.55,0.64,-0.09,-14.0625
2018-06-30,2018-08-02,0.81,0.71,0.1,14.0845
2018-03-31,2018-05-03,-0.13,0.77,-0.9,-116.8831
2017-12-31,2018-02-20,0.7,0.63,0.07,11.1111
2017-09-30,2017-11-02,0.67,0.6,0.07,11.6667
2017-06-30,2017-08-03,-0.17,0.6,-0.77,-128.3333
2017-03-31,2017-05-04,0.43,0.67,-0.24,-35.8209
2016-12-31,2017-02-17,0.82,0.79,0.03,3.7975
2016-09-30,2016-11-03,0.03,0.87,-0.84,-96.5517
2016-06-30,2016-08-04,0.72,0.88,-0.16,-18.1818
2016-03-31,2016-05-05,0.74,0.85,-0.11,-12.9412
2015-12-31,2016-02-18,0.89,0.93,-0.04,-4.3011
2015-09-30,2015-10-29,1.21,1.12,0.09,8.0357
2015-06-30,2015-07-30,1,1.05,-0.05,-4.7619
2015-03-31,2015-04-30,0.96,0.98,-0.02,-2.0408
2014-12-31,2015-02-18,1.41,1.1,0.31,28.1818
2014-09-30,2014-10-30,1.15,1.1,0.05,4.5455
2014-06-30,2014-07-31,1.02,0.99,0.03,3.0303
2014-03-31,2014-05-01,0.92,0.97,-0.05,-5.1546
2013-12-31,2014-02-18,1.01,0.98,0.03,3.0612
2013-09-30,2013-10-31,1.05,1.04,0.01,0.9615
2013-06-30,2013-08-01,1.05,1.01,0.04,3.9604
2013-03-31,2013-05-02,1.02,0.96,0.06,6.25
2012-12-31,2013-02-20,1.58,0.98,0.6,61.2245
2012-09-30,2012-11-01,0.86,0.97,-0.11,-11.3402
2012-06-30,2012-08-02,0.95,0.92,0.03,3.2609
2012-03-31,2012-05-03,0.91,0.87,0.04,4.5977
2011-12-31,2012-02-22,0.9,0.82,0.08,9.7561
2011-09-30,2011-11-03,0.78,0.85,-0.07,-8.2353
2011-06-30,2011-08-04,0.94,0.81,0.13,16.0494
2011-03-31,2011-05-05,0.78,0.76,0.02,2.6316
2010-12-31,2011-02-23,0.97,0.75,0.22,29.3333
2010-09-30,2010-11-04,-0.3,-0.26,-0.04,-15.3846
2010-06-30,2010-07-26,0.87,0.71,0.16,22.5352
2010-03-31,2010-05-10,0.76,0.74,0.02,2.7027
2009-12-31,2010-02-25,0.82,0.88,-0.06,-6.8182
2009-09-30,2009-11-09,0.89,0.9,-0.01,-1.1111
2009-06-30,2009-08-10,0.93,0.91,0.02,2.1978
2009-03-31,2009-05-11,1.12,0.93,0.19,20.4301
2008-12-31,2009-02-25,1.04,0.92,0.12,13.0435
2008-09-30,2008-11-06,1.01,0.91,0.1,10.989
2008-06-30,2008-08-11,0.87,0.82,0.05,6.0976
2008-03-31,2008-05-12,0.75,0.63,0.12,19.0476
2007-12-31,2008-02-28,0.74,0.59,0.15,25.4237
2007-09-30,2007-11-07,0.51,0.54,-0.03,-5.5556
2007-06-30,2007-08-07,0.53,0.47,0.06,12.766
2007-03-31,2007-05-07,0.47,0.43,0.04,9.3023
2006-12-31,2007-03-01,0.45,0.3,0.15,50
2006-09-30,2006-11-06,0.16,-0.06,0.22,366.6667
2006-06-30,2006-08-07,0.37,0.36,0.01,2.7778
2006-03-31,2006-05-08,0.5,0.33,0.17,51.5152
2005-12-31,2006-03-01,0.37,0.34,0.03,8.8235
2005-09-30,2005-11-03,0.76,0.4,0.36,90
2005-06-30,2005-08-08,-0.09,0.25,-0.34,-136
2005-03-31,2005-05-05,0.28,0.28,0,0
2004-12-31,2005-02-02,0.28,0.28,0,0
2004-09-30,2004-10-27,0.27,0.28,-0.01,-3.5714
2004-06-30,2004-07-28,0.27,0.27,0,0
2004-03-31,2004-04-28,0.26,0.26,0,0
2003-12-31,2004-02-04,0.32,0.29,0.03,10.3448
2003-09-30,2003-10-28,0.28,0.28,0,0
2003-06-30,2003-07-29,0.27,0.28,-0.01,-3.5714
2003-03-31,2003-04-29,0.26,0.25,0.01,4
2002-12-31,2003-01-30,0.28,0.27,0.01,3.7037
2002-09-30,2002-11-06,0.29,0.27,0.02,7.4074
2002-06-30,2002-07-30,0.27,0.25,0.02,8
2002-03-31,2002-04-30,0.23,0.21,0.02,9.5238
2001-12-31,2002-02-07,0.2,0.21,-0.01,-4.7619
2001-09-30,2001-10-30,0.26,0.25,0.01,4
2001-06-30,2001-07-31,0.23,0.21,0.02,9.5238
2001-03-31,2001-05-02,0.18,0.18,0,0
2000-12-31,2001-03-06,0.31,0.23,0.08,34.7826
