fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-03,0.51,0.46,0.05,10.8696
2022-06-30,2022-08-04,0.61,0.45,0.16,35.5556
2022-03-31,2022-05-03,1.13,0.43,0.7,162.7907
2021-12-31,2022-02-10,0.39,0.46,-0.07,-15.2174
2021-09-30,2021-11-04,0.69,0.52,0.17,32.6923
2021-06-30,2021-08-05,0.56,0.29,0.27,93.1034
2021-03-31,2021-05-06,0.47,0.17,0.3,176.4706
2020-12-31,2021-02-11,0.23,0.17,0.06,35.2941
2020-09-30,2020-11-05,0.07,0.21,-0.14,-66.6667
2020-06-30,2020-08-03,0.11,0.27,-0.16,-59.2593
2020-03-31,2020-05-07,-0.15,0.36,-0.51,-141.6667
2019-12-31,2020-02-12,0.24,0.4,-0.16,-40
2019-09-30,2019-10-30,0.34,0.34,0,0
2019-06-30,2019-08-01,0.31,0.34,-0.03,-8.8235
2019-03-31,2019-05-02,0.54,0.35,0.19,54.2857
2018-12-31,2019-02-13,0.46,0.38,0.08,21.0526
2018-09-30,2018-10-25,0.41,0.38,0.03,7.8947
2018-06-30,2018-08-02,0.28,0.34,-0.06,-17.6471
2018-03-31,2018-04-30,0.31,0.36,-0.05,-13.8889
2017-12-31,2018-02-08,0.5,0.33,0.17,51.5152
2017-09-30,2017-11-01,0.35,0.31,0.04,12.9032
2017-06-30,2017-08-03,0.28,0.4,-0.12,-30
2017-03-31,2017-05-09,-0.26,0.01,-0.27,-2700
2016-12-31,2017-02-08,0.53,0.35,0.18,51.4286
2016-09-30,2016-11-01,0.05,-0.01,0.06,600
2016-06-30,2016-08-02,0.35,0.28,0.07,25
2016-03-31,2016-05-03,0.49,0.31,0.18,58.0645
2015-12-31,2016-02-10,0.18,0.19,-0.01,-5.2632
2015-09-30,2015-10-28,0.57,0.25,0.32,128
2015-06-30,2015-08-05,0.34,0.25,0.09,36
2015-03-31,2015-05-06,0.27,0.24,0.03,12.5
2014-12-31,2015-02-11,0.59,0.24,0.35,145.8333
2014-09-30,2014-11-03,0.52,0.17,0.35,205.8824
2014-06-30,2014-08-06,0.28,0.16,0.12,75
2014-03-31,2014-05-07,0.21,0.15,0.06,40
2013-12-31,2014-02-12,0.5,0.18,0.32,177.7778
2013-09-30,2013-10-30,0.13,0.2,-0.07,-35
2013-06-30,2013-07-31,0.22,0.18,0.04,22.2222
2013-03-31,2013-05-07,0.17,0.16,0.01,6.25
2012-12-31,2013-01-30,-0.41,0.15,-0.56,-373.3333
2012-09-30,2012-11-07,0.13,0.13,0,0
2012-06-30,2012-07-31,0.06,0.14,-0.08,-57.1429
2012-03-31,2012-05-02,0.14,0.07,0.07,100
2011-12-31,2012-02-01,0.09,0.15,-0.06,-40
2011-09-30,2011-11-03,0.09,0.12,-0.03,-25
2011-06-30,2011-08-03,0.14,0.11,0.03,27.2727
2011-03-31,2011-05-04,0.02,0.08,-0.06,-75
2010-12-31,2011-02-02,-0.44,0.06,-0.5,-833.3333
2010-09-30,2010-11-03,0.12,0.12,0,0
2010-06-30,2010-08-04,0.08,0.04,0.04,100
2010-03-31,2010-05-05,0.15,0.06,0.09,150
2009-12-31,2010-02-03,0.31,0.21,0.1,47.619
2009-09-30,2009-10-30,-1.05,0.29,-1.34,-462.069
2009-06-30,2009-08-05,-0.23,0.26,-0.49,-188.4615
2009-03-31,2009-05-06,0.28,0.29,-0.01,-3.4483
2008-12-31,2009-02-04,0.23,0.48,-0.25,-52.0833
2008-09-30,2008-11-10,0.84,0.59,0.25,42.3729
2008-06-30,2008-08-06,0.45,0.54,-0.09,-16.6667
2008-03-31,2008-05-06,0.38,0.41,-0.03,-7.3171
2007-12-31,2008-02-06,0.72,0.72,0,0
2007-09-30,2007-10-31,0.53,0.56,-0.03,-5.3571
2007-06-30,2007-08-01,0.64,0.52,0.12,23.0769
2007-03-31,2007-05-02,0.75,0.67,0.08,11.9403
2006-12-31,2007-01-31,0.89,0.63,0.26,41.2698
2006-09-30,2006-11-01,0.57,0.53,0.04,7.5472
2006-06-30,2006-08-02,0.47,0.47,0,0
2006-03-31,2006-05-03,0.97,0.33,0.64,193.9394
2005-12-31,2006-02-01,0.64,0.45,0.19,42.2222
2005-09-30,2005-10-31,0.42,0.4,0.02,5
2005-06-30,2005-08-03,0.63,0.57,0.06,10.5263
2005-03-31,2005-05-03,0.55,0.56,-0.01,-1.7857
2004-12-31,2005-02-02,0.73,0.57,0.16,28.0702
2004-09-30,2004-10-27,0.58,0.51,0.07,13.7255
2004-06-30,2004-07-28,0.41,0.37,0.04,10.8108
2004-03-31,2004-04-28,0.35,0.38,-0.03,-7.8947
2003-12-31,2004-01-28,0.89,0.61,0.28,45.9016
