fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-19,1.58,1.5,0.08,5.3333
2022-06-30,2022-07-20,1.78,1.7,0.08,4.7059
2022-03-31,2022-04-20,1.71,1.69,0.02,1.1834
2021-12-31,2022-01-26,1.37,1.42,-0.05,-3.5211
2021-09-30,2021-10-20,1.52,1.46,0.06,4.1096
2021-06-30,2021-07-21,1.77,1.69,0.08,4.7337
2021-03-31,2021-04-22,2.11,2.13,-0.02,-0.939
2020-12-31,2021-01-27,1.91,1.84,0.07,3.8043
2020-09-30,2020-10-27,1.78,1.74,0.04,2.2989
2020-06-30,2020-07-22,2.2,2.12,0.08,3.7736
2020-03-31,2020-04-29,1.96,1.9,0.06,3.1579
2019-12-31,2020-01-29,1.32,1.3,0.02,1.5385
2019-09-30,2019-10-23,1.42,1.39,0.03,2.1583
2019-06-30,2019-07-24,1.27,1.32,-0.05,-3.7879
2019-03-31,2019-04-24,1.39,1.38,0.01,0.7246
2018-12-31,2019-01-30,1.21,1.16,0.05,4.3103
2018-09-30,2018-10-24,1.02,0.93,0.09,9.6774
2018-06-30,2018-07-25,1.07,1.04,0.03,2.8846
2018-03-31,2018-04-25,1.27,1.22,0.05,4.0984
2017-12-31,2018-01-31,1.19,0.87,0.32,36.7816
2017-09-30,2017-10-25,0.9,0.9,0,0
2017-06-30,2017-07-26,1,0.92,0.08,8.6957
2017-03-31,2017-04-26,1.11,0.96,0.15,15.625
2016-12-31,2017-01-25,0.88,0.84,0.04,4.7619
2016-09-30,2016-10-26,0.82,0.78,0.04,5.1282
2016-06-30,2016-07-28,0.88,0.85,0.03,3.5294
2016-03-31,2016-04-27,0.77,0.78,-0.01,-1.2821
2015-12-31,2016-01-27,0.65,0.62,0.03,4.8387
2015-09-30,2015-10-21,0.6,0.62,-0.02,-3.2258
2015-06-30,2015-07-22,0.64,0.64,0,0
2015-03-31,2015-04-22,0.65,0.64,0.01,1.5625
2014-12-31,2015-01-28,0.57,0.52,0.05,9.6154
2014-09-30,2014-10-22,0.46,0.47,-0.01,-2.1277
2014-06-30,2014-07-23,0.48,0.46,0.02,4.3478
2014-03-31,2014-04-23,0.46,0.45,0.01,2.2222
2013-12-31,2014-01-29,0.41,0.42,-0.01,-2.381
2013-09-30,2013-10-23,0.48,0.43,0.05,11.6279
2013-06-30,2013-07-24,0.51,0.45,0.06,13.3333
2013-03-31,2013-04-24,0.41,0.37,0.04,10.8108
2012-12-31,2013-01-30,0.36,0.36,0,0
2012-09-30,2012-11-02,0.37,0.32,0.05,15.625
2012-06-30,2012-07-25,0.34,0.32,0.02,6.25
2012-03-31,2012-04-25,0.35,0.37,-0.02,-5.4054
2011-12-31,2012-02-01,0.31,0.29,0.02,6.8966
2011-09-30,2011-10-26,0.34,0.28,0.06,21.4286
2011-06-30,2011-07-27,0.3,0.26,0.04,15.3846
2011-03-31,2011-04-27,0.27,0.27,0,0
2010-12-31,2011-02-02,0.23,0.2,0.03,15
2010-09-30,2010-10-27,0.22,0.18,0.04,22.2222
2010-06-30,2010-07-28,0.18,0.17,0.01,5.8824
2010-03-31,2010-04-28,0.17,0.17,0,0
2009-12-31,2010-02-03,0.17,0.14,0.03,21.4286
2009-09-30,2009-10-28,0.12,0.09,0.03,33.3333
2009-06-30,2009-07-28,0.08,0.08,0,0
2009-03-31,2009-04-29,0.08,0.07,0.01,14.2857
2008-12-31,2009-02-04,0.05,0.04,0.01,25
2008-09-30,2008-10-29,0.04,0.04,0,0
2008-06-30,2008-07-30,0.08,0.07,0.01,14.2857
2008-03-31,2008-05-07,0.05,0.05,0,0
2007-12-31,2008-02-06,0.06,0.06,0,0
2007-09-30,2007-10-31,0.07,0.06,0.01,16.6667
2007-06-30,2007-08-01,0.1,0.08,0.02,25
2007-03-31,2007-05-02,0.07,0.07,0,0
2006-12-31,2007-02-07,0.06,0.05,0.01,20
2006-09-30,2006-11-01,0.04,0.04,0,0
2006-06-30,2006-08-02,0.02,0.02,0,0
2006-03-31,2006-05-03,0.03,0.03,0,0
2005-12-31,2006-02-08,0.03,0.03,0,0
2005-09-30,2005-11-01,0.03,0.03,0,0
2005-06-30,2005-08-10,0.05,0.05,0,0
2005-03-31,2005-05-04,0.09,0.1,-0.01,-10
2004-12-31,2005-02-09,0.09,0.06,0.03,50
