fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-25,1.99,1.83,0.16,8.7432
2022-06-30,2022-07-27,1.93,1.79,0.14,7.8212
2022-03-31,2022-04-29,1.96,1.91,0.05,2.6178
2021-12-31,2022-02-04,1.83,1.8,0.03,1.6667
2021-09-30,2021-10-27,2,1.92,0.08,4.1667
2021-06-30,2021-07-28,1.93,1.89,0.04,2.1164
2021-03-31,2021-04-29,1.74,1.82,-0.08,-4.3956
2020-12-31,2021-02-04,1.46,1.42,0.04,2.8169
2020-09-30,2020-11-05,1.63,1.5,0.13,8.6667
2020-06-30,2020-08-06,1.63,1.48,0.15,10.1351
2020-03-31,2020-05-07,1.72,1.49,0.23,15.4362
2019-12-31,2020-02-06,1.22,0.88,0.34,38.6364
2019-09-30,2019-10-31,1.17,1.07,0.1,9.3458
2019-06-30,2019-07-25,1.18,1.07,0.11,10.2804
2019-03-31,2019-04-25,1.1,1.09,0.01,0.9174
2018-12-31,2019-01-24,0.94,0.85,0.09,10.5882
2018-09-30,2018-10-25,1.09,0.91,0.18,19.7802
2018-06-30,2018-07-26,1.01,0.87,0.14,16.092
2018-03-31,2018-04-26,0.94,0.85,0.09,10.5882
2017-12-31,2018-02-05,0.68,0.67,0.01,1.4925
2017-09-30,2017-10-26,0.75,0.77,-0.02,-2.5974
2017-06-30,2017-07-27,0.74,0.74,0,0
2017-03-31,2017-04-27,0.84,0.74,0.1,13.5135
2016-12-31,2017-01-26,0.63,0.67,-0.04,-5.9701
2016-09-30,2016-10-27,0.77,0.65,0.12,18.4615
2016-06-30,2016-07-28,0.69,0.67,0.02,2.9851
2016-03-31,2016-04-28,0.74,0.65,0.09,13.8462
2015-12-31,2016-01-28,0.38,0.28,0.1,35.7143
2015-09-30,2015-10-27,0.39,0.35,0.04,11.4286
2015-06-30,2015-07-23,0.53,0.36,0.17,47.2222
2015-03-31,2015-04-28,0.71,0.51,0.2,39.2157
2014-12-31,2015-01-27,0.46,0.41,0.05,12.1951
2014-09-30,2014-10-24,0.45,0.42,0.03,7.1429
2014-06-30,2014-07-24,0.48,0.44,0.04,9.0909
2014-03-31,2014-04-29,0.46,0.43,0.03,6.9767
2013-12-31,2014-01-24,0.51,0.43,0.08,18.6047
2013-09-30,2013-10-23,0.46,0.44,0.02,4.5455
2013-06-30,2013-07-25,0.44,0.44,0,0
2013-03-31,2013-04-25,0.41,0.41,0,0
2012-12-31,2013-01-24,0.47,0.43,0.04,9.3023
2012-09-30,2012-10-24,0.41,0.42,-0.01,-2.381
2012-06-30,2012-07-25,0.48,0.48,0,0
2012-03-31,2012-04-26,0.64,0.63,0.01,1.5873
2011-12-31,2012-01-26,0.53,0.55,-0.02,-3.6364
2011-09-30,2011-10-27,0.61,0.58,0.03,5.1724
2011-06-30,2011-07-28,0.56,0.55,0.01,1.8182
2011-03-31,2011-04-28,0.58,0.53,0.05,9.434
2010-12-31,2011-01-27,0.47,0.48,-0.01,-2.0833
2010-09-30,2010-10-26,0.59,0.53,0.06,11.3208
2010-06-30,2010-07-22,0.54,0.53,0.01,1.8868
2010-03-31,2010-04-29,0.56,0.51,0.05,9.8039
2009-12-31,2010-01-28,0.47,0.41,0.06,14.6341
2009-09-30,2009-10-22,0.52,0.51,0.01,1.9608
2009-06-30,2009-07-23,0.56,0.47,0.09,19.1489
2009-03-31,2009-04-28,0.48,0.47,0.01,2.1277
2008-12-31,2009-01-27,0.46,0.41,0.05,12.1951
2008-09-30,2008-10-23,0.46,0.42,0.04,9.5238
2008-06-30,2008-07-24,0.43,0.4,0.03,7.5
2008-03-31,2008-04-24,0.42,0.41,0.01,2.439
2007-12-31,2008-01-31,0.35,0.34,0.01,2.9412
2007-09-30,2007-10-25,0.38,0.37,0.01,2.7027
2007-06-30,2007-07-26,0.37,0.36,0.01,2.7778
2007-03-31,2007-04-26,0.38,0.23,0.15,65.2174
2006-12-31,2007-01-25,0.19,0.16,0.03,18.75
2006-09-30,2006-10-26,0.22,0.2,0.02,10
2006-06-30,2006-07-27,0.35,0.32,0.03,9.375
2006-03-31,2006-04-27,0.32,0.32,0,0
2005-12-31,2006-01-25,0.31,0.28,0.03,10.7143
2005-09-30,2005-10-28,0.31,0.33,-0.02,-6.0606
2005-06-30,2005-07-28,0.47,0.36,0.11,30.5556
2005-03-31,2005-04-28,0.34,0.34,0,0
2004-12-31,2005-01-27,0.39,0.33,0.06,18.1818
2004-09-30,2004-10-29,0.44,0.39,0.05,12.8205
2004-06-30,2004-07-29,0.46,0.39,0.07,17.9487
2004-03-31,2004-04-28,0.41,0.39,0.02,5.1282
2003-12-31,2004-01-29,0.37,0.39,-0.02,-5.1282
2003-09-30,2003-10-23,0.47,0.41,0.06,14.6341
2003-06-30,2003-07-24,0.45,0.38,0.07,18.4211
2003-03-31,2003-04-29,0.39,0.38,0.01,2.6316
2002-12-31,2003-03-10,0.31,0.27,0.04,14.8148
2002-09-30,2002-10-24,0.26,0.26,0,0
2002-06-30,2002-07-23,0.23,0.26,-0.03,-11.5385
2002-03-31,2002-04-25,0.45,0.43,0.02,4.6512
2001-12-31,2002-01-24,0.59,0.59,0,0
2001-09-30,2001-10-23,0.63,0.63,0,0
2001-06-30,2001-07-25,0.56,0.53,0.03,5.6604
2001-03-31,2001-04-25,0.63,0.61,0.02,3.2787
2000-12-31,2001-01-24,0.56,0.55,0.01,1.8182
2000-09-30,2000-10-19,0.59,0.58,0.01,1.7241
2000-06-30,2000-07-20,0.51,0.51,0,0
2000-03-31,2000-04-20,0.58,0.57,0.01,1.7544
1999-12-31,2000-01-24,0.49,0.49,0,0
1999-09-30,1999-10-19,0.51,0.51,0,0
1999-06-30,1999-07-21,0.45,0.45,0,0
1999-03-31,1999-04-21,0.5,0.49,0.01,2.0408
1998-12-31,1999-01-20,0.43,0.43,0,0
1998-09-30,1998-10-20,0.45,0.45,0,0
1998-06-30,1998-07-21,0.4,0.39,0.01,2.5641
1998-03-31,1998-04-21,0.43,0.43,0,0
1997-12-31,1998-01-22,0.38,0.38,0,0
1997-09-30,1997-10-21,0.41,0.4,0.01,2.5
1997-06-30,1997-07-22,0.35,0.35,0,0
1997-03-31,1997-04-22,0.38,0.38,0,0
1996-12-31,1997-01-22,0.34,0.34,0,0
1996-09-30,1996-10-22,0.36,0.35,0.01,2.8571
1996-06-30,1996-07-22,0.31,0.31,0,0
1996-03-31,1996-04-23,0.34,0.33,0.01,3.0303
