fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-08,0.6,0.49,0.11,22.449
2022-06-30,2022-08-09,0.44,0.39,0.05,12.8205
2022-03-31,2022-05-10,0.45,0.3,0.15,50
2021-12-31,2022-02-24,0.46,0.17,0.29,170.5882
2021-09-30,2021-11-15,1.17,0.26,0.91,350
2021-06-30,2021-08-05,0.38,0.23,0.15,65.2174
2021-03-31,2021-05-06,0.31,0.21,0.1,47.619
2020-12-31,2021-02-25,1,0.36,0.64,177.7778
2020-09-30,2020-11-05,0.4,0.2,0.2,100
2020-06-30,2020-08-06,-0.01,0.16,-0.17,-106.25
2020-03-31,2020-05-07,0.4,0.18,0.22,122.2222
2019-12-31,2020-02-27,0.41,0.38,0.03,7.8947
2019-09-30,2019-11-07,0.28,0.27,0.01,3.7037
2019-06-30,2019-08-08,0.14,0.16,-0.02,-12.5
2019-03-31,2019-05-09,0.21,0.16,0.05,31.25
2018-12-31,2019-02-26,0.08,0.11,-0.03,-27.2727
2018-09-30,2018-11-06,0.2,0.13,0.07,53.8462
2018-06-30,2018-08-07,0.18,0.04,0.14,350
2018-03-31,2018-05-08,0.29,0.05,0.24,480
2017-12-31,2018-02-27,0.13,-0.03,0.16,533.3333
2017-09-30,2017-11-07,0.01,0.04,-0.03,-75
2017-06-30,2017-08-08,0.04,0.04,0,0
2017-03-31,2017-05-09,0.09,0.03,0.06,200
2016-12-31,2017-02-28,0.12,0.11,0.01,9.0909
2016-09-30,2016-11-09,0.07,0.06,0.01,16.6667
2016-06-30,2016-08-04,0.07,0.04,0.03,75
2016-03-31,2016-05-04,0.06,0.03,0.03,100
2015-12-31,2016-02-29,0.09,0.04,0.05,125
2015-09-30,2015-11-03,0.03,0.08,-0.05,-62.5
2015-06-30,2015-07-30,0.11,0.09,0.02,22.2222
2015-03-31,2015-04-30,0.13,0.06,0.07,116.6667
2014-12-31,2015-02-26,0.09,0.11,-0.02,-18.1818
2014-09-30,2014-10-30,0.14,0.09,0.05,55.5556
2014-06-30,2014-07-30,0.07,0.06,0.01,16.6667
2014-03-31,2014-04-30,0.06,0.04,0.02,50
2013-12-31,2014-02-26,0.13,0.06,0.07,116.6667
2013-09-30,2013-10-30,0.1,0.08,0.02,25
2013-06-30,2013-07-31,0.08,0.07,0.01,14.2857
2013-03-31,2013-04-25,0.06,0.05,0.01,20
2012-12-31,2013-02-21,0.07,0.07,0,0
2012-09-30,2012-10-26,0.07,0.04,0.03,75
2012-06-30,2012-07-26,0.06,0.02,0.04,200
2012-03-31,2012-04-26,0.07,0.01,0.06,600
2011-12-31,2012-02-23,-0.01,0.02,-0.03,-150
2011-09-30,2011-10-31,0.02,0.02,0,0
2011-06-30,2011-07-28,-0.04,None,None,None
2011-03-31,2011-04-21,0.0003,None,None,None
2010-12-31,2011-02-23,-0.0032,None,None,None
2010-09-30,2010-10-27,-0.04,-0.01,-0.03,-300
2010-06-30,2010-07-27,-0.02,-0.03,0.01,33.3333
2010-03-31,2010-04-23,-0.01,-0.01,0,0
2009-12-31,2010-02-19,0.07,0.02,0.05,250
2009-09-30,2009-10-22,-0.05,-0.03,-0.02,-66.6667
2009-06-30,2009-07-29,-0.01,-0.04,0.03,75
2009-03-31,2009-04-23,-0.01,-0.01,0,0
2008-12-31,2009-02-24,0.06,0.01,0.05,500
2008-09-30,2008-10-28,0.01,None,None,None
2008-06-30,2008-07-24,-0.02,0.01,-0.03,-300
2008-03-31,2008-04-24,0.02,0.05,-0.03,-60
2007-12-31,2008-02-14,0.07,0.07,0,0
2007-09-30,2007-10-24,0.09,0.05,0.04,80
2007-06-30,2007-07-23,0.06,0.04,0.02,50
2007-03-31,2007-04-25,0.01,0.02,-0.01,-50
2006-12-31,2007-02-21,0.04,0.04,0,0
2006-09-30,2006-10-25,0.04,0.03,0.01,33.3333
2006-06-30,2006-07-26,0.02,0.03,-0.01,-33.3333
2006-03-31,2006-04-26,0.01,0.02,-0.01,-50
2005-12-31,2006-02-22,0.0017,0.01,-0.0083,-83
2005-09-30,2005-10-26,0.0052,0.01,-0.0048,-48
2005-06-30,2005-07-20,0.01,0.02,-0.01,-50
2005-03-31,2005-04-19,0.0026,0.02,-0.0174,-87
2004-12-31,2005-02-08,0.08,0.1,-0.02,-20
2004-09-30,2004-10-19,0.1,0.08,0.02,25
2004-06-30,2004-07-20,0.07,0.07,0,0
2004-03-31,2004-04-20,0.06,0.05,0.01,20
2003-12-31,2004-02-02,0.05,0.03,0.02,66.6667
2003-09-30,2003-10-20,0.02,0.01,0.01,100
2003-06-30,2003-07-21,0.01,0.01,0,0
2003-03-31,2003-04-21,0.01,None,None,None
2002-12-31,2003-02-26,0.0017,None,None,None
2002-09-30,2002-11-27,-0.002,None,None,None
2002-06-30,2002-08-12,0.0017,None,None,None
2002-03-31,2002-05-29,0.0028,None,None,None
2001-09-30,2001-09-30,-0.0022,None,None,None
2001-06-30,2001-06-30,0.0041,None,None,None
