fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-10-31,2022-12-01,5.34,4.15,1.19,28.6747
2022-07-31,2022-08-25,5.7,5,0.7,14
2022-04-30,2022-05-26,6.3,4.46,1.84,41.2556
2022-01-31,2022-03-10,5.41,4.58,0.83,18.1223
2021-10-31,2021-12-02,3.94,2.46,1.48,60.1626
2021-07-31,2021-08-25,4.56,2.56,2,78.125
2021-04-30,2021-05-27,4.1,1.95,2.15,110.2564
2021-01-31,2021-03-11,3.41,2.35,1.06,45.1064
2020-10-31,2020-12-03,1.64,1.49,0.15,10.0671
2020-07-31,2020-08-27,0.73,0.06,0.67,1116.6667
2020-04-30,2020-05-28,-1.39,0.49,-1.88,-383.6735
2020-01-31,2020-03-12,3.89,3.73,0.16,4.2895
2019-10-31,2019-12-05,2.25,2.13,0.12,5.6338
2019-07-31,2019-08-29,2.76,2.8,-0.04,-1.4286
2019-04-30,2019-05-30,3.26,3.07,0.19,6.1889
2019-01-31,2019-03-14,3.61,3.56,0.05,1.4045
2018-10-31,2018-12-06,2.18,2.16,0.02,0.9259
2018-07-31,2018-08-30,2.46,2.41,0.05,2.0747
2018-04-30,2018-05-31,2.7,2.48,0.22,8.871
2018-01-31,2018-03-15,2.75,2.78,-0.03,-1.0791
2017-10-31,2017-11-30,1.7,1.67,0.03,1.7964
2017-07-31,2017-08-24,1.83,1.78,0.05,2.809
2017-04-30,2017-05-25,2.05,1.8,0.25,13.8889
2017-01-31,2017-03-09,2.24,2.13,0.11,5.1643
2016-10-31,2016-12-01,1.4,1.37,0.03,2.1898
2016-07-31,2016-08-25,1.43,1.4,0.03,2.1429
2016-04-30,2016-05-26,1.45,1.29,0.16,12.4031
2016-01-31,2016-03-10,1.69,1.54,0.15,9.7403
2015-10-31,2015-12-03,1.11,1.05,0.06,5.7143
2015-07-31,2015-08-27,1.15,1.12,0.03,2.6786
2015-04-30,2015-05-28,1.04,0.93,0.11,11.828
2015-01-31,2015-03-12,1.35,1.27,0.08,6.2992
2014-10-31,2014-12-04,0.91,0.84,0.07,8.3333
2014-07-31,2014-09-11,0.94,0.83,0.11,13.253
2014-04-30,2014-06-10,0.77,0.74,0.03,4.0541
2014-01-31,2014-03-13,1.09,1.07,0.02,1.8692
2013-10-31,2013-12-05,0.72,0.74,-0.02,-2.7027
2013-07-31,2013-09-12,0.7,0.67,0.03,4.4776
2013-04-30,2013-06-11,0.65,0.62,0.03,4.8387
2013-01-31,2013-03-14,1,0.98,0.02,2.0408
2012-10-31,2012-11-29,0.59,0.56,0.03,5.3571
2012-07-31,2012-09-06,0.54,0.51,0.03,5.8824
2012-04-30,2012-06-05,0.54,0.53,0.01,1.8868
2012-01-31,2012-03-08,0.73,0.68,0.05,7.3529
2011-10-31,2011-12-01,0.42,0.38,0.04,10.5263
2011-07-31,2011-09-08,0.38,0.32,0.06,18.75
2011-04-30,2011-06-07,0.37,0.31,0.06,19.3548
2011-01-31,2011-03-10,0.49,0.44,0.05,11.3636
2010-10-31,2010-12-02,0.23,0.2,0.03,15
2010-07-31,2010-09-02,0.22,0.18,0.04,22.2222
2010-04-30,2010-06-03,0.23,0.19,0.04,21.0526
2010-01-31,2010-03-11,0.34,0.3,0.04,13.3333
2009-10-31,2009-12-03,0.14,0.11,0.03,27.2727
2009-07-31,2009-09-03,0.1,0.05,0.05,100
2009-04-30,2009-06-04,0.08,0.05,0.03,60
2009-01-31,2009-03-19,0.21,0.19,0.02,10.5263
2008-10-31,2008-12-04,0.09,0.09,0,0
2008-07-31,2008-09-04,0.06,0.05,0.01,20
2008-04-30,2008-06-04,0.08,0.07,0.01,14.2857
2008-01-31,2008-03-19,0.23,0.23,0,0
2007-10-31,2007-12-11,0.0107,None,None,None
