fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-02,0.39,0.44,-0.05,-11.3636
2022-06-30,2022-08-04,0.64,0.61,0.03,4.918
2022-03-31,2022-05-03,0.6,0.51,0.09,17.6471
2021-12-31,2022-02-15,0.26,0.43,-0.17,-39.5349
2021-09-30,2021-11-04,0.76,0.76,0,0
2021-06-30,2021-08-05,0.97,0.96,0.01,1.0417
2021-03-31,2021-05-06,1.52,1.22,0.3,24.5902
2020-12-31,2021-02-24,1.04,1.01,0.03,2.9703
2020-09-30,2020-11-06,0.91,0.8,0.11,13.75
2020-06-30,2020-08-06,1.25,0.93,0.32,34.4086
2020-03-31,2020-05-07,1.13,0.96,0.17,17.7083
2019-12-31,2020-02-20,0.97,1.44,-0.47,-32.6389
2019-09-30,2019-11-12,0.95,0.92,0.03,3.2609
2019-06-30,2019-08-08,1.16,1.12,0.04,3.5714
2019-03-31,2019-05-02,1.37,1.36,0.01,0.7353
2018-12-31,2019-02-14,1.5,1.52,-0.02,-1.3158
2018-09-30,2018-11-01,1.24,1.22,0.02,1.6393
2018-06-30,2018-08-02,1.12,1.11,0.01,0.9009
2018-03-31,2018-05-03,1.34,1.19,0.15,12.605
2017-12-31,2018-02-15,1.2,1.14,0.06,5.2632
2017-09-30,2017-11-02,1.11,1.07,0.04,3.7383
2017-06-30,2017-08-07,1.04,0.98,0.06,6.1224
2017-03-31,2017-05-04,1.06,0.95,0.11,11.5789
2016-12-31,2017-02-15,1.11,1.1,0.01,0.9091
2016-09-30,2016-11-03,1.05,0.98,0.07,7.1429
2016-06-30,2016-07-28,0.93,0.86,0.07,8.1395
2016-03-31,2016-05-03,1.02,0.94,0.08,8.5106
2015-12-31,2016-02-11,0.92,0.92,0,0
2015-09-30,2015-11-03,0.88,0.81,0.07,8.642
2015-06-30,2015-08-05,0.74,0.72,0.02,2.7778
2015-03-31,2015-05-07,0.78,0.75,0.03,4
2014-12-31,2015-02-12,0.77,0.76,0.01,1.3158
2014-09-30,2014-11-05,0.74,0.72,0.02,2.7778
2014-06-30,2014-08-07,0.72,0.71,0.01,1.4085
2014-03-31,2014-05-08,0.79,0.74,0.05,6.7568
2013-12-31,2014-02-12,0.78,0.76,0.02,2.6316
2013-09-30,2013-11-06,0.76,0.76,0,0
2013-06-30,2013-07-31,0.76,0.72,0.04,5.5556
2013-03-31,2013-05-01,0.73,0.68,0.05,7.3529
2012-12-31,2013-02-14,0.64,0.68,-0.04,-5.8824
2012-09-30,2012-11-07,0.6,0.61,-0.01,-1.6393
2012-06-30,2012-08-02,0.65,0.59,0.06,10.1695
2012-03-31,2012-05-01,0.53,0.44,0.09,20.4545
2011-12-31,2012-02-15,0.57,0.53,0.04,7.5472
2011-09-30,2011-11-03,0.5,0.46,0.04,8.6957
2011-06-30,2011-08-02,0.58,0.45,0.13,28.8889
2011-03-31,2011-05-03,0.29,0.19,0.1,52.6316
2010-12-31,2011-02-16,0.46,0.43,0.03,6.9767
2010-09-30,2010-11-04,0.35,0.31,0.04,12.9032
2010-06-30,2010-08-03,0.25,0.21,0.04,19.0476
2010-03-31,2010-05-05,0.05,0.05,0,0
2009-12-31,2010-02-18,0.25,0.25,0,0
2009-09-30,2009-11-05,0.25,0.22,0.03,13.6364
2009-06-30,2009-08-06,0.08,0.07,0.01,14.2857
2009-03-31,2009-05-07,-0.08,0.07,-0.15,-214.2857
2008-12-31,2009-02-18,0.34,0.26,0.08,30.7692
2008-09-30,2008-10-30,0.4,0.4,0,0
2008-06-30,2008-07-31,0.49,0.52,-0.03,-5.7692
2008-03-31,2008-04-29,0.4,0.33,0.07,21.2121
2007-12-31,2008-02-26,0.54,0.52,0.02,3.8462
2007-09-30,2007-11-01,0.48,0.43,0.05,11.6279
2007-06-30,2007-07-31,0.54,0.51,0.03,5.8824
2007-03-31,2007-05-03,0.33,0.32,0.01,3.125
2006-12-31,2007-02-27,0.59,0.47,0.12,25.5319
2006-09-30,2006-11-02,0.42,0.4,0.02,5
2006-06-30,2006-08-03,0.49,0.5,-0.01,-2
2006-03-31,2006-04-26,0.3,0.28,0.02,7.1429
2005-12-31,2006-02-22,0.41,0.39,0.02,5.1282
2005-09-30,2005-11-01,0.47,0.45,0.02,4.4444
2005-06-30,2005-08-04,0.47,0.46,0.01,2.1739
2005-03-31,2005-04-19,0.36,0.31,0.05,16.129
2004-12-31,2005-02-24,0.42,0.38,0.04,10.5263
2004-09-30,2004-10-28,0.42,0.41,0.01,2.439
2004-06-30,2004-07-22,0.45,0.43,0.02,4.6512
2004-03-31,2004-04-22,0.33,0.31,0.02,6.4516
2003-12-31,2004-02-10,0.36,0.36,0,0
2003-09-30,2003-10-23,0.4,0.38,0.02,5.2632
2003-06-30,2003-07-24,0.37,0.36,0.01,2.7778
2003-03-31,2003-04-22,0.26,0.25,0.01,4
2002-12-31,2003-02-12,0.37,0.34,0.03,8.8235
2002-09-30,2002-10-24,0.36,0.32,0.04,12.5
2002-06-30,2002-07-25,0.31,0.29,0.02,6.8966
2002-03-31,2002-04-25,0.21,0.16,0.05,31.25
2001-12-31,2002-02-14,-0.08,-0.11,0.03,27.2727
2001-09-30,2001-10-24,-0.01,-0.02,0.01,50
2001-06-30,2001-07-26,0.01,0.03,-0.02,-66.6667
2001-03-31,2001-04-24,-0.009,-0.08,0.071,88.75
2000-12-31,2001-02-14,0.05,0.03,0.02,66.6667
2000-09-30,2000-10-26,0.02,0.3,-0.28,-93.3333
2000-06-30,2000-09-07,0.01,0.09,-0.08,-88.8889
2000-03-31,2000-04-26,0.11,0.08,0.03,37.5
1999-12-31,2000-02-16,0.19,0.14,0.05,35.7143
1999-09-30,1999-10-21,0.16,0.16,0,0
1999-06-30,1999-07-19,0.08,0.07,0.01,14.2857
1999-03-31,1999-04-27,0.08,0.05,0.03,60
1998-12-31,1999-02-25,0.05,0.07,-0.02,-28.5714
1998-09-30,1998-11-05,0.2,0.14,0.06,42.8571
1998-06-30,1998-07-29,-0.02,-0.04,0.02,50
1998-03-31,1998-04-29,-0.02,-0.09,0.07,77.7778
1997-12-31,1998-02-26,-0.14,-0.18,0.04,22.2222
1997-09-30,1997-10-29,0.03,-0.02,0.05,250
1997-06-30,1997-08-05,-0.04,-0.06,0.02,33.3333
1997-03-31,1997-05-07,-0.05,-0.08,0.03,37.5
1996-12-31,1997-03-04,0.1,-0.06,0.16,266.6667
1996-09-30,1996-11-01,0.12,0.08,0.04,50
1996-06-30,1996-07-31,0.01,0.02,-0.01,-50
1996-03-31,1996-05-03,0.02,-0.01,0.03,300
